Name,Subject,Description,Tags,Assign,Priority,Update Field,Last Order,HTTP Target,Close,Available To - Brands,Available To - Agents,Created By
"TUTORIALS - Set up - Scent Diffuser HVAC : Written step by step installation to Hvac system","","Hello %First Name%

Thank you for reaching Scentiment Customer Support. I'm %Agent First Name% and I would be glad to assist you today.

We know how excited you are to infuse your home with delightful fragrances using our Scent Diffuser HVAC integration system. We're here to guide you through the setup process, step by step. You can refer to the diagram as shown here to better get an idea of how the set up should look:

Then follow the steps for setting it up:

Step 1: Unbox and InspectStart by unboxing your Scent Diffuser HVAC unit. Take a moment to inspect it for any visible damage and ensure that all the components are included.

Step 2: Choose a LocationSelect a suitable location for your Scent Diffuser. It should be placed near your HVAC system's air intake or ductwork for optimal scent distribution.

Step 3: Power ConnectionPlug the provided power cord into your Scent Diffuser HVAC unit and connect the other end to a standard electrical outlet.

Step 4: Fill the Fragrance BottleOpen the Scent Diffuser unit and locate the fragrance bottle compartment. Unscrew the cap of the fragrance bottle and carefully pour your chosen fragrance oil into the included 800 ml bottle. Be cautious not to spill any oil.

Step 5: Install the Fragrance BottleInsert the filled fragrance bottle into the designated compartment within the Scent Diffuser unit.

Step 6: Set Fragrance IntensityYou can easily customize the fragrance intensity to your liking. Access the unit's touch screen display or use the Wi-Fi app on your smartphone for this. Adjust the settings to find your perfect scent level.

Step 7: HVAC IntegrationThis step may vary depending on your HVAC system's brand and model. Consult your HVAC system's user manual for specific integration instructions. Typically, you'll attach the Scent Diffuser HVAC unit to your air intake or ductwork using brackets or adhesive strips.

Step 8: Power On HVAC and Scent DiffuserNow, turn on your HVAC system, allowing it to start circulating air through the Scent Diffuser HVAC unit.
Sit back, relax, and savor the delightful fragrances that will efficiently spread throughout your space.

Maintenance:Remember to occasionally check the fragrance oil level in the bottle and top it up when needed. Follow the manufacturer's instructions for cleaning to ensure that your Scent Diffuser continues to work its magic.
If you have any questions or encounter any issues during the setup process, please don't hesitate to reach out to our customer support team. We're here to assist you every step of the way.

Best regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"[ADMIN ONLY]: TRUSTPILOT & BBB Review Invite","Exclusive Appreciation Gifts for Your 5-Star Review! 🌟","Thank you for being a valued customer of Scentiment!
We hope this email finds you in great spirits! 🌸 Firstly, we want to express our deepest gratitude for your recent 5-star review! Your support means the world to us, and we are thrilled to have customers like you who appreciate the magic of our scents.
To show our appreciation, we have a special offer just for you! As a token of our gratitude, we would love to gift you 2 bottles of complimentary 20ml Scent Oils of your choice. On top of that, we are sending you a discount code with your next purchase—it's our way of saying thank you for being a valued member of the Scentiment community.
We also love to invite you to share your experience with Scentiment on TRUSTPILOT and BBB. Your feedback helps us grow and inspires others to discover the joy of our fragrances. As a thank you for taking the time to leave a review, we will send you free 20ml Scent Oils of your choice – our little way of saying thank you for being a cherished part of the Scentiment family.

🌟 How to Claim Your Free 20ml Oils:

1. Click on this BBB link to leave your review.
2. Click on this TRUSTPILOT link to leave your review.
3. After submitting your feedback, kindly reply to this email with the screenshot of your reviews, your preferred shipping address, and the Scent Oils of your choice.
We will ship you our gift in priority, plus, you will receive your exclusive discount code that you can use towards your next purchase with us. Your honest opinion means everything to us, and we genuinely appreciate you taking the time to share your thoughts on Trustpilot and BBB.
Thank you once again for choosing Scentiment. We look forward to hearing your thoughts and hope you enjoy your complimentary Scent Oils!

Best Regards,
Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Standard Diffuser V1 : No mist/ No airflow/ No scent","","Hello %First Name%,

We apologize for the inconvenience you are experiencing with your diffuser.

Please follow the troubleshooting steps to resolve this issue.

If the issue remains unresolved, and since your diffuser is still under warranty, we’ll provide you with a link to initiate your warranty replacement once you’ve completed the troubleshooting steps and submitted your video.

If you have any further questions, don't hesitate to reply and we're happy to help! You can also visit our Scentiment Help Center for additional support.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: How Long Do Bottles Last","","A 20 ml bottle lasts up to 30 days in the Mini, Mini 2, or Mini 2 LE (≈ 4 hrs/day).
A 120 ml bottle lasts up to 30 days in the Scent Diffuser or Air 2 (≈ 8 hrs/day).

Duration may vary based on scent strength and usage.","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Order Inquiry: Doesn't want a subscription","","We do offer an option to purchase fragrance oils without a subscription. To do this, simply toggle off the subscription option before adding your selected items to the cart.

Please note that this option applies when purchasing diffusers and fragrance oils separately. For Diffuser Starter Kits, the subscription feature cannot be removed at checkout. However, subscriptions can be cancelled at any time, with no long-term commitment.

As an added benefit, customers who maintain an active subscription receive an extended diffuser warranty of up to 24 months, providing extra peace of mind and product protection.

Regards,%Agent First Name% Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"ORDERS: Change Address (Update Completed)","","Hi %First Name%,

Thank you for contacting us! I am happy to help.

I've updated your shipping address and you should be all set now. You will receive a confirmation email when your package ships.

Let me know if there's anything else I can help with. You can also access our Help Center here: Scentiment Help Center if you need additional assistance.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Pricing","","Pricing for items will vary based on the diffuser size and oils you order. All pricing can be viewed on our site at https://www.scentiment.com/","","","","","","","","All Brands","Everyone","System"
"ORDERS: Oil Discovery Sets","","Hello ​​%First Name%​​,

Thank you for your interest! Great question.

We offer discovery sets of our top 3, top 5, and top 10 favorite fragrances. You can find those packs on our website, here: https://www.scentiment.com/products/hotel-discovery-set.

Discovery sets come in 20ml bottles. These can be poured into the diffuser for use. 

Let me know if you need any additional assistance. 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Oil Discovery Sets","","We offer discovery sets of our top 3, top 5, and top 10 favorite fragrances. You can find those packs on our website, here: https://www.scentiment.com/products/hotel-discovery-set.

Discovery sets come in 20ml bottles. These can be poured into the diffuser for use.","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Scent Not Yet Available (Request)","","We don't have a scent for that hotel just yet, but we'll add it to the request list!","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: Preserved Roses – Refund & Exchange Policy","","Hi%First Name%,

Thanks for reaching out.

Each of our Preserved Roses arrangements is made just for you, so we’re not able to offer returns or exchanges.

That said, if your order arrived damaged or something doesn’t seem right, we’re here to help! Please email us at support@scentiment.com as soon as your package is delivered.
Be sure to include clear photos of both the roses and the packaging so we can resolve the issue as quickly as possible.

Let us know if you need anything else, we’re happy to assist.

Warm regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"GENERIC: Introduction","","Hi ​​%First Name%​​

Thank you for reaching Scentiment Customer Support. I'm ​​%Agent First Name%​​, and I would be glad to assist you today. 

As always, feel free to reach out to us should you need further assistance. 

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: Cancel Subscription & Subscription Order","","Hello %First Name%,

Thank you so much for reaching out — we’re truly sorry to see you go!

I’ve successfully cancelled your subscription associated with %Email%, and I can confirm that no further orders will be generated moving forward.
Regarding your most recent order %Order ID%, I’ve also processed the cancellation request. In accordance with our policy, instead of a refund, a gift card for the full value of your unfulfilled order will be issued. You can expect to receive this gift card via email within 24–72 business hours.

Please review our updated Subscription Policy below:
Subscription OrdersOnce a subscription order has been processed, it cannot be canceled. Subscription items are not eligible for refunds. If your request is submitted within 14 days of delivery, we’ll gladly issue a gift card equivalent to the item’s value. This applies to both shipped and unshipped subscription orders, regardless of returns.
Maintaining an active subscription also provides a valuable benefit — your diffuser warranty is extended to 24 months, giving you additional coverage and peace of mind.
For full details, please refer to our Order Cancellation Policy and Refund Policy.
Please note that canceling your subscription will also cancel your extended diffuser warranty.

If you have any other questions or need further assistance, please don’t hesitate to reach out — we’re always here to help.

Regards,%Agent First Name%Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"[ADMIN ONLY]: Low CSAT Outreach","We're here to make things right!","Hi %First Name%,

Thank you so much for taking the time to leave us feedback even if it wasn’t the kind we were hoping for. We’re truly sorry to hear that your experience didn’t go as smoothly as it should have.

At Scentiment, your satisfaction means the world to us, and we’d love a chance to make it right. If something wasn’t resolved or if there’s anything more we can do, please don’t hesitate to let us know. Just hit ""Reply"" and share a bit more about what went wrong, we’re listening and ready to help!

We appreciate your honesty, and we’re committed to learning from this so we can do better for you (and everyone we serve).

Looking forward to hearing from you soon.

Warmly,Customer Support Team","","","","","","","","All Brands","Everyone","System"
"INTERNAL: Message/Post Hidden","","Action taken on ticket: Message/post hidden","","","","","","","","All Brands","Everyone","System"
"MARKETING: Influencer/Collaboration request","","Hello %First Name%,

Thank you for reaching out and for the interest you have in our products. Please contact Abigail.paat@scentiment.com and kristyl.DelaCerna@scentiment.com for all collaboration requests.

Looking forward to hearing from you.

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Product Inquiry: Can I Use My Own Oils","","Thank you for your interest! Our Scentiment diffusers are perfectly designed to work with our unique fragrance oils for optimal scent dispersion and protection. For the best experience, please use Scentiment oils exclusively with our diffusers!","","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: How to cancel","","Hi %First Name%,

Thank you for reaching out!

To cancel your subscription, all you need to do is click on the link below, and from there you can access your subscription and cancel or make any changes.
Please note you will need to use the email you provided when placing your order.

https://www.scentiment.com/apps/retextion#/login

In the meantime, you can access our Help Center here if you need additional assistance. 
Regards,%Agent First Name%Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"GENERAL: Rush Shipping Offer","Rush Shipping Order","Hello %First Name%,

We are excited to introduce our new Rush Order option! With Rush Order, your order will be prioritized and prepared from our warehouse within 24-business hours, ensuring that your items will be processed faster.

Here's what you need to know about Rush Order:
- Orders placed with Rush Order will be processed ahead of standard orders.
- You can expect the tracking information within 1 business day.
- Rush Order is available for a nominal fee, and it's perfect for those times when you need your items to be prioritized on our warehouse.

How to select Rush Order:
1. Add the items you want to your cart.
2. At the bottom of your cart, you can choose the Rush Order option by toggling it on. It should be added directly from your cart.
3. Complete your order, and we'll take care of the rest!

Thank you for choosing Scentiment. We appreciate your business, and we're committed to providing you with exceptional service!
Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"Troubleshooting: Standard Diffuser V1: Cleaning Written Instructions & Video","","Hello %First Name%,

Thank you for reaching out! Diffusers should be cleaned every 15 to 30 days. To do so, please see the instructions below or watch this instructional video guide.
1. Fill the empty oil bottle that came with your diffuser with 1/4 inch of rubbing alcohol.
2. Screw the alcohol-filled bottle into the diffuser.
3. Run the diffuser for 15 minutes to ensure the alcohol can filter through the whole device.
4. Unplug the device from the wall outlet and keep the diffuser in an upright position. Wipe the device with a damp cloth to remove oil stains and fingerprints. Avoid using any harsh or abrasive cleaning products.
5. Remove the alcohol-filled bottle, insert the fragrance oil of your choice, reconnect both halves of the diffuser, and plug it into the wall outlet.

Please let me know if you have any further questions or concerns.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TUTORIALS: Set up: Standard Scent Diffuser V1: Setting Up Your Scent Diffuser written step by step & video","","Hello %First Name%,
Thank you for reaching out! I am happy to help get your Scent Diffuser set up! We've just made a comprehensive video on how to set up your Standard Scent Diffuser, watch it here. But below is a step-by-step procedure you can follow as well:

Step 1: Opening the Diffuser
Open the Scentiment diffuser by rotating the upper half counterclockwise while holding the bottom half firmly.

Step 2: Removing the Empty Bottle
Remove the empty Scentiment bottle by turning it clockwise from the top part of the diffuser.

Step 3: Adding the Scenting Oil
Screw the chosen scenting oil bottle counterclockwise into the diffuser, ensuring it is tightly secured, OR pour the contents of an oil bottle into the provided bottle.
Only fragrance oils that come in a 50ml or 120ml bottle can be directly plugged into the diffuser without pouring it into the included bottle.

Step 4: Closing the Diffuser
Close the unit tightly by sliding the upper half back into place and turning it clockwise.

Step 5: Connecting the Power Adapter
Plug the power adapter into a 110V power outlet.

Step 6: Understanding the LED Lights
The blue light shows when the device is powered on, the green light shows when the device is diffusing oil, and red flashing when using the remote control.
Power on the device and show the blue light

Turn the misting on and show the green light

Use the remote to demonstrate the flashing red light

Step 7: Powering On and Off
Use the ""On/Off"" button on the remote control to power the device.

Step 8: Adjusting Aroma Density
There are ""Density +"" and ""Density -"" buttons on the remote control.
Density + (plus) - Increases aroma’s density by 10%. Press 10 times for maximum density
Density - (minus) - Decreases aroma’s density by 10%. Press 10 times for minimum density

Step 9: Activating Continuous Operation
By pressing the ""Aroma"" button you'll activate the continuous operation of the diffuser.

You can adjust the density using the density buttons.

 

Step 10: Controlling Scenting Intervals
Scent intervals are provided on buttons L1 - L6

Step 11: Understanding Scenting Intervals
You will see one of the following settings, depending on the remote you have:
L1 (25%)- Diffuser will diffuse scent for 40s and pause for 160s
L3 (50%)- Diffuser will diffuse scent for 100s and pause for 100s
L6 (95%) - Diffuser will diffuse scent for 180s and pause for 10s

OR

20% 16sec misting, 60sec pause
35% 16sec misting, 120sec pause
50% 16sec misting, 180sec pause
65% 16sec misting, 240sec pause
80% 16sec misting, 300sec pause
95% 16sec misting, 360sec pause

Step 12: Setting the Timer
You can use the remote to select your preferred timer options, which are 1 hour, 4 hours, and 8 hours.

Please let us know if you have any other questions!

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"GENERAL: CS Phone Number","","Hello %First Name%,

Thank you for reaching out!

We can be reached by telephone at 323-310-1000 Monday to Friday between the hours of 9:00 AM - 5:00 PM EST.

You can also access our Help Center here: Scentiment Help Center if you need additional assistance.

Let me know if you need any additional assistance.

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Flashing Yellow Light: Step 2","","Hi %First Name%,

Thanks for sending the photo. I really appreciate it!

Just to give you a little context, the 20ml fragrance scent oils you have received is designed to help you explore our range of scents before committing to a full-sized oil bottle. That’s why our kits - whether starter or discovery, includes 20ml sample bottles. They’re perfect for testing out different scents, but they do hold less oil than our standard 50ml or 120ml sizes.

Since the diffuser is built to detect oil levels automatically, smaller bottles like these can sometimes trigger the “Low Oil Alert” (flashing yellow light) sooner than expected — especially if the bottle isn’t at least half full or if it’s slightly off-center inside the chamber. I recommend filling up the bottle inside your diffuser and if the flashing light won't stop, we'd be happy to proceed with a replacement. Just send a quick video showing the flashing light after filling in the diffuser bottle.

Please let me know if you need further assistance.

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Mini V1: Cleaning MINI Diffuser (w/ Video)","","Hello %First Name%,

Thank you for reaching out! Scentiment diffusers should be cleaned every 15 - 30 days to ensure optimal performance.

I've included a comprehensive video here to show you how to properly clean your device.

Please review the video and let me know if you have any questions.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: MINI V1: Loud Noise (VIDEO link)","","Hello %First Name%,

Thank you for reaching out, and we're so sorry to hear your having trouble with your Scent Diffuser Mini.

1) Proceed with cleaning the Mini Scent Diffuser. Please follow these short videos to fully clean your diffuser

Cleaning the NozzleCleaning the PipeRunning diffuser in your Mini Scent Diffuser

2) Once you are done with cleaning the Mini Scent Diffuser, fill it with your Scentiment fragrance oil: We have attached here the video. 3) Make sure you correctly install the bottle back on the nozzle.4) Ensure the bottle is securely tightened.5) Before re-installing the nozzle module, make sure that you align the position direction mark on the nozzle with the marking on the diffuser.6) Push the nozzle all the way in, ensuring that the triangle symbols on the nozzle match the markings on the diffuser.
You can also access our Troubleshooting steps in our Scentiment Help Center to access more troubleshooting videos.

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: MINI V1: Oil Leakage","","Hello %First Name%,

I would be glad to assist you with your concern. We appreciate you reaching out to us regarding this matter, and we're truly sorry to hear about what happened with your unit.

To gain a better understanding of the situation and provide the most appropriate assistance, we would like to inquire whether there is a possibility that the unit may have been tipped over or tilted sideways while it was in operation.

We want to stress how important it is to put the unit on a steady surface when you use it. This helps prevent similar accidents from happening again. Keeping the unit stable when it's running is not just about making it work well, but it's also about keeping things safe.

We would advise that you review this short video to troubleshoot the issue, and let's monitor within 24 to 48 hours to see if the issue will recur.

Please do not hesitate to review our Scentiment Help Center for more troubleshooting videos.

If the issue is not resolved, your diffuser is under warranty, and you've already completed the troubleshooting steps we'll provide you with a link to initiate your warranty replacement.

Sincerely, %Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: My diffuser is not working","","Hi %First Name%,

Thank you for reaching out! We're sorry to hear that your scent diffuser is not working as expected. Our team is here to assist you in getting it up and running as quickly as possible.

To help resolve the issue, we recommend going through our troubleshooting steps. These steps should address the most common concerns and get your diffuser working again.

If your diffuser is still not functioning and is under warranty, please ensure you have submitted the required video demonstrating the issue. Once received, one of our customer support agents will review it and get back to you with the next steps.

We appreciate your patience and look forward to resolving this for you! If you have any questions, feel free to reply to this email.

Best regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Generic- Replacement Order processed","","Hello ​​%First Name%​​,

Thank you for your patience while I worked on this for you. 

We have created a replacement order for you. Your new order number is ​%Order Name%​. 

You should receive an email with the new order details shortly, and another with tracking once the order ships. 

In the meantime, please let me know if you need any additional assistance. Thank you! 

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","replacement-order","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Standard Diffuser V1: Cleaning Standard Diffuser: Video","","Hello %First Name%,

Thank you for reaching out! Scentiment diffusers should be cleaned every 15 - 30 days to ensure optimal performance.

I've included a comprehensive video here : to show you how to properly clean your device.

Please review the video and let me know if you have any questions.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Standard Diffuser V1: How To Replace Nozzle (w/ video)","","Hello %First Name%,

Replacing the nozzle on your Scentiment Diffuser is a quick and easy process, and can be complete in a few simple steps. I've included a helpful video here  for instructions on how to change that in your diffuser.

Let me know if you need any additional assistance!

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISCOUNTS: Discount Code Not Applied (Need Code From Customer)","","Hello ​​%First Name%​​,

Thank you for reaching out! I am happy to help with this. 

Can you please confirm the discount code you need to be added to your purchase?

Looking forward to hearing back! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","promotions-inquiry","","","","","","","All Brands","Everyone","System"
"TUTORIALS: MINI V1: Setting Timer and Mist Frequency","","Hello %First Name%,
Thank you for reaching out! You can watch the below short videos to help you set the timer and the mist frequency of your Scent Diffuser Mini.
Timer Settings
Mist Frequency

We also have included the instructions below for setting the timer and mist frequency on your Scent Diffuser Mini

By default, the Mini works continuously for 4 hours and then turns off automatically. However, you have the flexibility to shut it off after a shorter amount of time between 1 to 3 hours. A short press on the timer button will allow you to move between the 3 timed selections.

It also offers three timer options to control the mist frequency. First one being 120 seconds of misting following a 60-second pause, the 2nd being the 60-second misting, followed by a 2-minute pause. Lastly, a 15-second misting, followed by a 2 and a half minute pause.

You can set the mist frequency using the power button. A long 2 second press will turn the machine on, a short press on the same button will allow you to select your ideal mist frequency from the selections listed above.

Let me know if you have any other questions, I'm always happy to help!

Sincerely,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISPUTES: Chargeback Lost","","Hi %First Name%,

We appreciate your patience while waiting for the resolution of your chargeback for Order #[Order Number]. After a thorough review, your financial institution has unfortunately ruled against the dispute and in favor of Scentiment.

We know this may not be the outcome you were hoping for, and we truly understand how frustrating that can be. While we don't have control over the bank's final decision, we still want to support you and explore any possible solutions to make this right.

If there's anything we can do to assist you further, please don't hesitate to reach out. We are committed to providing the best experience for our customers, and we are more than happy to help however we can!

Sincerely,%Agent First Name%Scentiment Customer Support","chargeback-lost","","","","","","","All Brands","Everyone","System"
"ORDERS: ID Verification","Scentiment Order Verification","Hi %First Name%,

We are writing to request your assistance in verifying your identity for the credit card used in your recent order with us. This is a standard security measure that we have implemented to protect our customers and prevent any fraudulent activities.
To ensure that the credit card used in the order belongs to you, we kindly ask that you provide us with the following information:

-A copy of the front and back of the credit card used in the order (Please block out the CVV code for security purposes).
-A copy of a valid government-issued photo ID (e.g. passport, driver's license).Please send us the above information as soon as possible to verify your identity. You can reply to this email with the attachments. Once we have verified your identity, we will process your order promptly.We apologize for any inconvenience this may have caused you and appreciate your understanding and cooperation in this matter. If you have any questions or concerns, please do not hesitate to contact us.

Thank you for your cooperation.

Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SOCIAL MEDIA: Cord/Cable Required","","Our Scent Diffuser Mini, Diffuser Mini 2, Diffuser Mini 2 LE, and Diffuser Air 2 are rechargeable, so they can be used without the power cord. However, all other diffusers do need to be plugged in for use. 

Regards,

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"(RETURNS ADMINS ONLY): Gift Card Accepted","","Hi %First Name%

Thank you for accepting our offer to convert the amount of your order to Gift Card and we have sent it to you via email. You should receive a separate notification containing the details. Kindly use the Gift Card when you are ready to purchase to have your order discounted.

As always, feel free to reach out to us should you need further assistance. You can also access our Help Center here: Scentiment Help Center

All the best, %Agent First Name%","gift-card","","","","","","","All Brands","Everyone","System"
"DIFFUSERS: Battery Life – Diffuser Air 2","","Hi %First Name%,

Thanks for reaching out! Here’s how long your Diffuser Air 2 should run without being plugged in, depending on the misting setting:
Low setting: ~8 hours

Medium setting: ~7 hours

High setting: ~8 hours

To get the best performance and battery life, we recommend connecting your diffuser to the Scentiment App and making sure the latest firmware update is installed. This helps optimize how the diffuser functions, especially in wireless mode.

Please see the links below:

Android: https://play.google.com/store/apps/details?id=com.scentiment.app&pli=1
IOS: https://apps.apple.com/ph/app/scentiment/id6478093653

Also, please note that the diffuser is designed to automatically shut off after 8 hours of continuous use to help preserve the motor.

If you have any questions or need help connecting to the app, we're happy to assist.

Best Regards,
%Agent First Name%
Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TUTORIALS: HVAC Hookup Guide","","Hello %First Name%,
Thank you for reaching out! I am happy to help with some instructions on how to hook up your Scentiment diffuser to your HVAC system.

I've included a diagram attached to this email, however, you can also review the written instructions below for additional installation instructions.
(1) Insert the thick transparent tubing that comes with your Diffuser into the external HVAC connector.
(2) Use a screwdriver to make a small hole in the ductwork.
(3) Measure the tubing from the unit to the ductwork, and cut off the excess with a scissor.
(4) The tubing should form a 90° angle to enter the ductwork. Ensure the tubing is straight with no loops or curves.
(5) Seal the tubing with HVAC tape.

Please note - No more than an inch of transparent tubing should be inserted into the ductwork.
Ensure the tubing is placed in the supply of the duct work for an even distribution of scent (after the return and filter).
To remove this tubing, simply press and hold the black ring on the HVAC connector and carefully pull the tube out.
Please let us know if you need any additional assistance with this.","","","","","","","","All Brands","Everyone","System"
"TUTORIALS: Set Up - Scent Diffuser Pro V1: Video","","Hello %First Name%,
I am happy to help with setting up your new Scentiment Scent Diffuser PRO. 
We have a great video to get you going and show you how to properly set up the device. Please review the video here and let me know if you have any questions I can help with. 

Thank you so much! 
Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"TUTORIALS: Set up- Mini V1: How to set up Mini Scent diffuser video","","Hello %First Name%,

I am happy to help with setting up your new Scentiment Scent Diffuser Mini. 

We have a great video to get you going and show you how to properly set up the device. Please review the video here and let me know if you have any questions I can help with. 
Thank you so much! 
Regards,%Agent First Name%","","","","","","","","All Brands","Everyone","System"
"TROUBLESHOOTING: Post Video Review -Warranty Replacement Request : Troubleshooting and Warranty Portal links","","Hello %First Name%,

We apologize for any inconvenience this has caused. We appreciate you following the Troubleshooting Guides to address the issue with your product.

After reviewing your case, we’re happy to confirm that your product is covered under warranty. To proceed, please click the link below to access our Warranty Replacement Request Portal and generate your return label:

https://orders.scentiment.com/

Please follow the instructions on the portal to complete your return. You only need to send back the diffuser unit itself — there’s no need to return the oils, cords, or other parts. Our team will handle the inspection and repair process to ensure your diffuser is fully restored and functioning properly.

Once your RMA is created, you’ll have 14 days to send the diffuser. If it’s not received within that timeframe, the RMA will automatically be canceled and no longer valid.

Our warehouse will inspect all returned units, and this process may take 10–14 business days. Feel free to reach out after the 14th business day if you haven’t received an update.

If you have any questions or need help along the way, please don’t hesitate to reply to this email — we’ll be happy to assist.

Thank you for your understanding and cooperation.
Best regards,%Agent First Name%Scentiment Customer Service Team","return-defective","","","","","","","All Brands","Everyone","System"
"ORDER ISSUE : Wrong Item Received: STEP 1: Photo Request","","Hello ​​%First Name%​​,

Thank you for reaching out, and we're so sorry to hear your order arrived incorrect, or incomplete.

Would you kindly send a photo of what you did receive so we can get a claim filed for you and the correct, or missing items, sent out? If you still have the packing slip, kindly include it in the photo as well.

Looking forward to hearing back.

Sincerely,

​​%Agent First Name%​​

Scentiment Customer Support","refund-wrong-order","","","","","","","All Brands","Everyone","System"
"ORDERS: Tracking Updated to Show in Transit","","Hello ​​%First Name%​​,

Thanks for your patience on this. 

Good news! Your order tracking has now been updated to show your package is in transit and on its way to you. 

Order: ​%Order Name%​

Please see your order tracking here: ​%Order Tracking URL%​

Please let me know if you need any additional assistance. I'm always happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"SUBSCRIPTION: Cancel Subscription Request (Completed)","","Hi ​​%First Name%​​,

Thank you so much for reaching out.  We're sorry to see you go! 

I can confirm the subscription under the email address ​%Customer Email%​ has been cancelled, and no additional orders will be placed on your behalf. 

Let me know if you need any additional assistance. I'm always happy to help! 

Regards,

​​%Agent First Name%​​

Scentiment Customer Support","refund-subscription-order","","","","","","","All Brands","Everyone","System"
"ORDERS: Store Credit Issued","","Hi ​​%First Name%​​

Thank you for accepting our offer to convert the amount of your order to store credit. Once you're ready to purchase, just click this link or enter this code: xxxxx

As always, feel free to reach out to us should you need further assistance. 

All the best, 

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"PRODUCT INQUIRY: How to Care for Your Preserved Roses ?","","Hi %First Name%,

Thanks for reaching out!

Keeping your Preserved Roses looking beautiful is super easy; just follow these simple care tips, and they’ll stay stunning for a year or more with no watering or special maintenance required:

DO:
• Keep your arrangement in a room with normal temperature.
• Gently dust with a soft duster as needed.
• Store the box lid beside or underneath the box.
• Handle carefully, these roses are delicate.

DON’T:
• No watering needed—these flowers are designed to last without it.
• Avoid direct sunlight to help prevent fading.
• Don’t place anything on top of the roses.
• Please don’t remove them from the box; they’re arranged to stay perfectly in place.

These beautiful blooms are made to be enjoyed with little effort, so you can focus on simply loving how they look.

If you have any other questions regarding our Preserved Roses, please see our Help Center.

Best Regards,%Agent First Name%Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
"DISCOUNTS: Military Discounts","","Hello ​​%First Name%​​,

Thank you for your interest in Scentiment! While we do not have a military-specific discount code, you can use the code SCENT15 for 15% off your order with us. 

We thank you for your service.

Let me know if you need any additional assistance! 

Best Regards,

​​%Agent First Name%​​

Scentiment Customer Support","","","","","","","","All Brands","Everyone","System"
